review_id,review_text,review_rating,review_title
197028391,"J' ai essayer les 3 produits, shampoing , revitalisant et l'huile lissant (a l'huile de coco et beurre de cacao)et je suis compl¨¨tement satisfaite mes cheveux ont jamais ¨¦t¨¦ aussi doux, soyeux car je frise naturellement et ces wow.Je recommande ces produits, car je vais les adopter soyez en sur...Bravo",5.0,"J' ai essayer les 3 produits, shampoing , revitalisant et l'huile lissant (a l'huile de coco et beurre de cacao)et je suis compl¨¨tement satisfaite mes cheveux ont jamais ¨¦t¨¦ aussi doux, soyeux car je frise naturellement et ces wow.Je recommande ces produits, car je vais les adopter soyez en sur...Bravo"
196987062,"Donne de l'¨¦clat ¨¤ mes cheveux, mais n'a pas couvert mon gris ¨¤ 100%!",4.0,"Donne de l'¨¦clat ¨¤ mes cheveux, mais n'a pas couvert mon gris ¨¤ 100%!"
196959609,"Super produit, depuis le debut de utilisation de ce prodiit garnier mes cheveux sont super beau facile a peigner donc super produit.",5.0,"Super produit, depuis le debut de utilisation de ce prodiit garnier mes cheveux sont super beau facile a peigner donc super produit."
196959705,"Good quality a must have product, love it, my hair alive again and feels great, must have for day to day use  as a good product",5.0,"Good quality a must have product, love it, my hair alive again and feels great, must have for day to day use  as a good product"
196960605,J'adore les produits Garnier et les nouveaut¨¦s sont toujours d'agr¨¦ables d¨¦couvertes capillaires!!,4.0,J'adore les produits Garnier et les nouveaut¨¦s sont toujours d'agr¨¦ables d¨¦couvertes capillaires!!
196960611,J'ai beaucoup aim¨¦ la texture et son odeur tout ¨¤ fait exquis qui dure longtemps. Il mousse bien et donne de superbe r¨¦sultats. Merci pour ce beau produit.,4.0,J'ai beaucoup aim¨¦ la texture et son odeur tout ¨¤ fait exquis qui dure longtemps. Il mousse bien et donne de superbe r¨¦sultats. Merci pour ce beau produit.
196960636,Wow! Un super produit que j'utilise ¨¤ toutes les semaines et je suis tellement satisfaite. Je le conseille ¨¤ tous.,5.0,Wow! Un super produit que j'utilise ¨¤ toutes les semaines et je suis tellement satisfaite. Je le conseille ¨¤ tous.
196960659,Bon produit qualit¨¦ prix. A utiliser r¨¦guli¨¨rement. Propos¨¦ a mes amis,2.0,Bon produit qualit¨¦ prix. A utiliser r¨¦guli¨¨rement. Propos¨¦ a mes amis
196960714,excellent produits quand mes cheveux sont beaucoup endommageravec se shampoo il revienne woww,5.0,excellent produits quand mes cheveux sont beaucoup endommageravec se shampoo il revienne woww
196960726,"Tr¨¨s bon produit. Il donne de beaux cheveux doux et r¨¦duit les dommages caus¨¦s par la temp¨¦rature.  De plus, l'odeur qui se d¨¦gage du shampooing est tr¨¨s agr¨¦able.  Je le recommande fortement ¨¤ toutes les personnes qui souhaitent avoir de beaux cheveux. C'est un tr¨¨s beau produit.",5.0,"Tr¨¨s bon produit. Il donne de beaux cheveux doux et r¨¦duit les dommages caus¨¦s par la temp¨¦rature.  De plus, l'odeur qui se d¨¦gage du shampooing est tr¨¨s agr¨¦able.  Je le recommande fortement ¨¤ toutes les personnes qui souhaitent avoir de beaux cheveux. C'est un tr¨¨s beau produit."
